id,titulo
1354,1.1.1.1. Número de municipios por provincia
28867,1.1.1.2. Extensión superficial
18292,"1.1.1.3. Latitud, longitud y altitud sobre el nivel de mar"
28857,1.1.1.4. Extensión superficial por zonas altimétricas
44460,1.1.1.5. Distribución general de la tierra
1387,1.1.1.6. Número de núcleos de población que componen el municipio
21532,1.1.1.7. Grado de urbanización y porcentaje de población según tipología de celda
1389,1.1.1.8. Densidad de población
1391,1.1.2.1. Distancia a la capital
1392,1.1.3.1. Suelos según litología
1394,1.1.3.2. Suelos según pendiente
18297,1.1.3.3. Pérdidas de suelo por erosión
87703,1.1.3.4.1. Ocupación del suelo. Grandes grupos
17870,1.1.3.4.2. Superficie agrícola
17872,1.1.3.4.3. Superficie artificial
17874,1.1.3.4.4. Superficie forestal
17876,1.1.3.4.5. Zonas húmedas
17976,1.1.3.5.1. Usos del suelo y coberturas vegetales. Grandes grupos (1991-2007)
17977,1.1.3.5.2. Superficies construidas y alteradas (1991-2007)
17978,1.1.3.5.3. Superficies agrícolas (1991-2007)
17981,1.1.3.5.4. Superficies forestales y naturales (1991-2007)
17985,1.1.3.5.5. Zonas húmedas y superficies de agua (1991-2007)
1427,1.2.1. Número de espacios naturales protegidos
1431,1.2.2. Superficie de espacios naturales protegidos
108481,1.2.3. Vías pecuarias por tipo de via
21969,1.2.4. Residuos urbanos
90554,1.2.5. Recogida selectiva por tipo de residuo
114116,2.1.1.1.1. Población por sexo
78108,2.1.1.1.2. Población por sexo y edad simple
77922,2.1.1.1.3. Población por sexo y relación entre lugar de nacimiento y de residencia
77921,"2.1.1.1.4. Población por sexo, edad (grandes grupos) y nacionalidad (española/extranjera)"
77923,"2.1.1.1.5. Población por sexo, nacionalidad (española/extranjera) y nivel de estudios (agregado)"
112764,2.1.1.1.6. Población por sexo y nacionalidad (grandes grupos)
21991,2.1.1.2.1. Población residente en núcleos de población y diseminados por sexo
21971,2.1.1.3.1. Población por sexo
21974,2.1.1.3.2. Población por edad simple y sexo
21992,2.1.1.3.3. Población según la relación entre el lugar de nacimiento y la residencia por sexo
22025,2.1.1.3.4. Población extranjera por continente y sexo
22026,"2.1.1.3.5. Población extranjera por continente, grupos de edad y sexo"
22030,2.1.1.3.6. Población extranjera por nacionalidad y sexo: UE
22060,2.1.1.3.7. Población extranjera según principales nacionalidades y sexo
22066,2.1.1.4.1.1. Población por sexo
22070,2.1.1.4.1.2. Población por sexo y grupos de edad
22072,2.1.1.4.1.3. Población por sexo y relación entre el lugar de nacimiento y residencia
22073,2.1.1.4.1.4. Población por sexo y nacionalidad (Española/Extranjera)
22074,2.1.1.4.1.5. Población por sexo y nacionalidad (grandes grupos)
22078,"2.1.1.4.1.6. Población por sexo, edad (grandes grupos) y nacionalidad (española/extranjera)"
23742,2.1.1.4.2.1. Población por sexo (Censos 1900-2001)
23744,"2.1.1.4.2.2. Población por grupos de edad y sexo (Censos 1991, 2001)"
40747,2.1.1.4.2.3. Población según la relación entre el lugar de nacimiento y la residencia por sexo (Censo 2001)
40750,2.1.1.4.2.4. Población extranjera por sexo (Censo 2001)
23832,"2.1.1.4.2.5. Población extranjera por continente y sexo (Censos 1991, 2001)"
23834,2.1.1.4.2.6. Población extranjera por nacionalidad y sexo: UE15 (Censo 2001)
40770,2.1.1.4.2.7. Población de 16 y más años clasificada según nivel de estudios y sexo (Censo)
23853,"2.1.1.4.2.8. Tasa de escolaridad por grupos de edad (Censos 1981, 1991)"
23848,2.1.1.4.2.9. Tasa de analfabetismo por sexo (Censo 2001)
89347,2.1.2.1.1. Tamaño medio del hogar y porcentaje de hogares unifamiliares
108130,2.1.2.2.1. Hogares según tamaño del hogar
22080,2.1.2.3.1. Hogares según su tamaño
22081,2.1.2.3.2. Núcleos familiares según tipo
40772,2.1.2.3.3. Principales indicadores
1800,2.1.2.4.1. Número de hogares según su estructura
